character	reading	key	audio
ا	ʾalef	h	
ب	be	f	
پ	pe	m	
ت	te	j	
ث	s̱e	e	
ج	jim	[	
چ	če	]	
ح	ḥe	p	
خ	xe	o	
د	dâl	n	
ذ	ẕâl	b	
ر	re	v	
ز	ze	c	
ژ	že	C	
س	že	s	
ش	šin	a	
ص	ṣâd	w	
ض	zâd	q	
ط	tâ	x	
ظ	ẓâ	z	
ع	ʿayn	u	
غ	ġayn	y	
ف	fe	t	
ق	qâf	r	
ک	kâf	;	
گ	gâf	'	
ل	lâm	g	
م	mim	l	
"ن "	nun	k	
و	vâv	,	
ه	he	i	
ی	ye	d	
